n|rsc|org|tag|tagId
0|02|science-and-technology|המדען הראשי|--
0|02|science-and-technology|חוקר|--
0|02|science-and-technology|מחקרים|--
0|02|science-and-technology|קול קורא|--
0|02|science-and-technology|שיתוף פעולה|--
1|03|science-and-technology|מדע|--
2|04|science-and-technology|שיתוף פעולה בינלאומי הסכם|--
3|05|science-and-technology|מדע|--
4|06|science-and-technology|מדע|--
5|062019|mof|תקציב|--
6|14|science-and-technology|מלגות נשים הנדסת אלקטרואופטיקה ביואינפורמטיקה|--
7|17|science-and-technology|טכנולוגיה|--
7|17|science-and-technology|מדע|--
9|19|science-and-technology|חוגים|--
9|19|science-and-technology|מדע|--
11|1minrain|meteorological_service|אקלים|--
11|1minrain|meteorological_service|גשם|--
11|1minrain|meteorological_service|תחנות|--
12|20|science-and-technology|מדע|--
13|2004-1997|mof|אוצר וכלכלה|--
13|2004-1997|mof|תקציב|--
14|2005|mof|אוצר וכלכלה|--
14|2005|mof|שינוי תקציב|--
14|2005|mof|שינויים תקציב|--
14|2005|mof|תקציב|--
15|2005-2008|mof|אוצר וכלכלה|--
15|2005-2008|mof|ביצוע|--
15|2005-2008|mof|תקציב|--
16|2005-2011|mof|אוצר וכלכלה|--
16|2005-2011|mof|שינויי תקציב|--
16|2005-2011|mof|שינויים תקציב|--
16|2005-2011|mof|תקציב|--
17|2006|mof|אוצר וכלכלה|--
17|2006|mof|שינויי תקציב|--
17|2006|mof|שינויים תקציב|--
17|2006|mof|תקציב|--
18|2007|mof|אוצר וכלכלה|--
18|2007|mof|שינויי תקציב|--
18|2007|mof|שינויים תקציב|--
18|2007|mof|תקציב|--
19|2008|mof|אוצר וכלכלה|--
19|2008|mof|שינויי תקציב|--
19|2008|mof|שינויים בתקציב|--
19|2008|mof|תקציב|--
20|2009|mof|אוצר וכלכלה|--
20|2009|mof|שינויי תקציב|--
20|2009|mof|שינויים בתקציב|--
20|2009|mof|תקציב|--
21|2009-2011|mof|אוצר וכלכלה|--
21|2009-2011|mof|ביצוע|--
21|2009-2011|mof|תקציב|--
22|2010|mof|אוצר וכלכלה|--
22|2010|mof|שינויי תקציב|--
22|2010|mof|שינויים תקציב|--
22|2010|mof|תקציב|--
23|2010-2019|ministry_of_transport|סקר הרגלי נסיעה|--
23|2010-2019|ministry_of_transport|תחבורה|--
24|2011|mof|אוצר וכלכלה|--
24|2011|mof|שינויים תקציב|--
24|2011|mof|תקציב|--
25|2012-2005|mof|אוצר וכלכלה|--
25|2012-2005|mof|תקציב|--
26|2013|social_security|2013|--
26|2013|social_security|אוכלוסיה|--
26|2013|social_security|אוכלוסייה|--
26|2013|social_security|אוצר וכלכלה|--
26|2013|social_security|גמלאות|--
26|2013|social_security|יישוב|--
27|2014|social_security|אוכלוסיה|--
27|2014|social_security|אוצר וכלכלה|--
28|2015-2013|mof|אוצר וכלכלה|--
28|2015-2013|mof|תקציב|--
29|2017|pmo|ביצוע|--
29|2017|pmo|בקרה|--
29|2017|pmo|דוח|--
29|2017|pmo|דיווח|--
29|2017|pmo|החלטות ממשלה|--
29|2017|pmo|ממשל|--
29|2017|pmo|ממשל וחברה|--
29|2017|pmo|מעקב|--
29|2017|pmo|משרד ראש הממשלה|--
29|2017|pmo|פיקוח|--
29|2017|pmo|תכנון|--
29|2017|pmo|תרבות ארגונית|--
30|2017-2018|mof|אוצר|--
30|2017-2018|mof|אוצר וכלכלה|--
30|2017-2018|mof|משרד האוצר|--
30|2017-2018|mof|תקציב|--
31|2018|religion-office|דת|--
31|2018|religion-office|מקוואות|--
31|2018|religion-office|שירותי דת|--
32|2018-2017|mof|אוצר וכלכלה|--
32|2018-2017|mof|תקציב|--
33|2018-puf|lamas|תאונות דרכים|--
33|2018-puf|lamas|תחבורה|--
34|2019infrastructure|pmo|משרד האוצר|--
34|2019infrastructure|pmo|משרד האנרגיה|--
34|2019infrastructure|pmo|משרד החינוך|--
34|2019infrastructure|pmo|משרד התחבורה והבטיחות בדרכים|--
34|2019infrastructure|pmo|משרד התקשורת|--
34|2019infrastructure|pmo|משרד ראש הממשלה|--
34|2019infrastructure|pmo|תשתיות|--
35|2020|pmo|משרד האוצר|--
35|2020|pmo|משרד האנרגיה|--
35|2020|pmo|משרד התחבורה|--
35|2020|pmo|משרד התחבורה והבטיחות בדרכים|--
35|2020|pmo|משרד התקשורת|--
35|2020|pmo|משרד ראש הממשלה|--
35|2020|pmo|תשתיות|--
36|2020-puf|lamas|תאונות דרכים|--
36|2020-puf|lamas|תחבורה|--
38|2021-puf|lamas|תאונות דרכים|--
38|2021-puf|lamas|תחבורה|--
39|2022|lamas|מפקד|--
39|2022|lamas|מפקד 2022|--
40|2023|pmo|ביצוע|--
40|2023|pmo|בקרה|--
40|2023|pmo|דוח|--
40|2023|pmo|דיווח|--
40|2023|pmo|החלטות ממשלה|--
40|2023|pmo|ייעול|--
40|2023|pmo|ממשל|--
40|2023|pmo|ממשל וחברה|--
40|2023|pmo|מעקב|--
40|2023|pmo|משימות|--
40|2023|pmo|משרד ראש הממשלה|--
40|2023|pmo|פיקוח|--
40|2023|pmo|שיפור|--
40|2023|pmo|שקיפות|--
40|2023|pmo|תכנון|--
40|2023|pmo|תמונת מצב|--
40|2023|pmo|תרבות ארגונית|--
41|2023-puf|lamas|תחבורה|--
42|2024_2025|holocaust_survivors_rights|זכויות ניצולי שואה|--
42|2024_2025|holocaust_survivors_rights|ניצולי שואה|--
44|2025-2026|holocaust_survivors_rights|זכויות ניצולי שואה|--
44|2025-2026|holocaust_survivors_rights|ניצולי שואה|--
44|2025-2026|holocaust_survivors_rights|ניצולים|--
45|2030|ministry_of_transport|2030|--
45|2030|ministry_of_transport|GIS|--
45|2030|ministry_of_transport|ממג|--
45|2030|ministry_of_transport|מקומות עבודה|--
45|2030|ministry_of_transport|צפיפות|--
46|206|ministry_of_the_environment|חוף|--
46|206|ministry_of_the_environment|חוף נקי|--
46|206|ministry_of_the_environment|סביבה|--
47|209|ministry_of_the_environment|ארגונים|--
47|209|ministry_of_the_environment|בעלי חיים|--
47|209|ministry_of_the_environment|חיות|--
47|209|ministry_of_the_environment|סביבה|--
47|209|ministry_of_the_environment|עמותות|--
48|21|science-and-technology|מדע|--
49|257|ministry_of_transport|בקרה מרחבית|--
49|257|ministry_of_transport|טיסות אזרחיות|--
49|257|ministry_of_transport|מודיעין טיס|--
49|257|ministry_of_transport|מידע תעופתי פנים ארצי|--
49|257|ministry_of_transport|תחבורה|--
49|257|ministry_of_transport|תעבורה אווירית|--
50|258|ministry_of_transport|בטיחות|--
50|258|ministry_of_transport|דוחות חקירה בטיחותיים|--
50|258|ministry_of_transport|טיסה|--
50|258|ministry_of_transport|טיסות|--
50|258|ministry_of_transport|תחבורה|--
51|276|airport_authority|אוצר וכלכלה|--
51|276|airport_authority|חינוך ותרבות|--
52|278|airport_authority|אוכלוסיה|--
52|278|airport_authority|כתובות|--
52|278|airport_authority|מעברי גבול|--
52|278|airport_authority|שדות תעופה|--
52|278|airport_authority|תחבורה|--
53|280|airport_authority|אוכלוסיה|--
53|280|airport_authority|סביבה|--
53|280|airport_authority|תחבורה|--
54|285|social_security|ביטוח לאומי|--
54|285|social_security|בריאות ורווחה|--
54|285|social_security|סביבה|--
54|285|social_security|סניפים|--
55|287|social_security|אוצר וכלכלה|--
55|287|social_security|ביטוח לאומי|--
55|287|social_security|בריאות ורווחה|--
55|287|social_security|קיצבאות|--
56|288|social_security|אוצר וכלכלה|--
56|288|social_security|ביטוח לאומי|--
56|288|social_security|שכר מינימום|--
57|289|social_security|אוצר וכלכלה|--
57|289|social_security|ביטוח לאומי|--
57|289|social_security|בריאות ורווחה|--
57|289|social_security|שכיר|--
58|29|science-and-technology|מדע|--
58|29|science-and-technology|קייטנות|--
58|29|science-and-technology|קיץ|--
59|290|social_security|אוצר וכלכלה|--
59|290|social_security|ביטוח לאומי|--
